2026-04-23 00:17:42.858 | INFO     | database | database.connection:disconnect:85 | Disconnecting from database...
2026-04-23 00:17:42.860 | INFO     | database | database.connection:disconnect:85 | Disconnecting from database...
2026-04-23 00:17:42.861 | INFO     | database | database.connection:disconnect:92 | Database disconnected
2026-04-23 00:17:42.863 | INFO     | database | database.connection:disconnect:92 | Database disconnected
2026-04-23 00:17:42.867 | INFO     | database | database.connection:disconnect:85 | Disconnecting from database...
2026-04-23 00:17:42.868 | INFO     | database | database.connection:disconnect:85 | Disconnecting from database...
2026-04-23 00:17:42.869 | INFO     | database | database.connection:disconnect:92 | Database disconnected
2026-04-23 00:17:42.869 | INFO     | database | database.connection:disconnect:92 | Database disconnected
2026-04-23 00:18:16.104 | INFO     | database | database.connection:connect:56 | Connecting to database... | url=localhost:3306/mediaflow
2026-04-23 00:18:16.112 | INFO     | database | database.connection:connect:56 | Connecting to database... | url=localhost:3306/mediaflow
2026-04-23 00:18:16.115 | INFO     | database | database.connection:connect:56 | Connecting to database... | url=localhost:3306/mediaflow
2026-04-23 00:18:16.115 | INFO     | database | database.connection:connect:56 | Connecting to database... | url=localhost:3306/mediaflow
2026-04-23 00:18:16.871 | SUCCESS  | database | database.connection:connect:76 | Database connected successfully
2026-04-23 00:18:16.888 | SUCCESS  | database | database.connection:connect:76 | Database connected successfully
2026-04-23 00:18:16.890 | SUCCESS  | database | database.connection:connect:76 | Database connected successfully
2026-04-23 00:18:16.905 | SUCCESS  | database | database.connection:connect:76 | Database connected successfully
2026-04-23 00:20:42.137 | INFO     | database | database.connection:disconnect:85 | Disconnecting from database...
2026-04-23 00:20:42.138 | INFO     | database | database.connection:disconnect:92 | Database disconnected
2026-04-23 00:20:42.144 | INFO     | database | database.connection:disconnect:85 | Disconnecting from database...
2026-04-23 00:20:42.146 | INFO     | database | database.connection:disconnect:92 | Database disconnected
2026-04-23 00:20:42.165 | INFO     | database | database.connection:disconnect:85 | Disconnecting from database...
2026-04-23 00:20:42.170 | INFO     | database | database.connection:disconnect:92 | Database disconnected
2026-04-23 00:20:42.418 | INFO     | database | database.connection:disconnect:85 | Disconnecting from database...
2026-04-23 00:20:42.420 | INFO     | database | database.connection:disconnect:92 | Database disconnected
2026-04-23 00:21:06.028 | INFO     | database | database.connection:connect:56 | Connecting to database... | url=localhost:3306/mediaflow
2026-04-23 00:21:06.078 | INFO     | database | database.connection:connect:56 | Connecting to database... | url=localhost:3306/mediaflow
